Order ID,Product ID_def,Customer ID_def,Country,Region,State_def,City_def,Postal Code_def,Order Date_def,Ship Date_def,Ship Mode_def,Sales_def,Profit_def,Discount_def,Quantity_def,Segment_def,Customer Name_def,Category_def,Sub-Category_def,Order Month,Order Year,Order Quarter,Days between order date and shipping date,Order Day Type,Order Week,Order Day of the Week
CA-2012-146087,FUR-BO-10002824,PP-18955,United States,East,MASSACHUSETTS,HOLYOKE,1040,2012-07-06,2012-07-11,STANDARD CLASS,301.96,60.392,0.0,2.0,HOME OFFICE,Paul Prost,FURNITURE,BOOKCASES,July,2012,3,5,Weekday,27,Friday
CA-2012-117961,OFF-BI-10000343,GP-14740,United States,East,MASSACHUSETTS,LEOMINSTER,1453,2012-11-26,2012-11-30,STANDARD CLASS,14.73,6.9231,0.0,3.0,CORPORATE,Guy Phonely,OFFICE SUPPLIES,BINDERS,November,2012,4,4,Weekday,48,Monday
CA-2012-117961,OFF-ST-10001172,GP-14740,United States,East,MASSACHUSETTS,LEOMINSTER,1453,2012-11-26,2012-11-30,STANDARD CLASS,104.9,25.176,0.0,5.0,CORPORATE,Guy Phonely,OFFICE SUPPLIES,STORAGE,November,2012,4,4,Weekday,48,Monday
CA-2012-117961,OFF-BI-10003707,GP-14740,United States,East,MASSACHUSETTS,LEOMINSTER,1453,2012-11-26,2012-11-30,STANDARD CLASS,61.04,30.52,0.0,4.0,CORPORATE,Guy Phonely,OFFICE SUPPLIES,BINDERS,November,2012,4,4,Weekday,48,Monday
CA-2012-117961,OFF-PA-10001274,GP-14740,United States,East,MASSACHUSETTS,LEOMINSTER,1453,2012-11-26,2012-11-30,STANDARD CLASS,10.95,5.1465,0.0,3.0,CORPORATE,Guy Phonely,OFFICE SUPPLIES,PAPER,November,2012,4,4,Weekday,48,Monday
CA-2012-154900,OFF-LA-10001641,SS-20875,United States,East,MASSACHUSETTS,LEOMINSTER,1453,2012-02-25,2012-03-01,STANDARD CLASS,3.15,1.512,0.0,1.0,CONSUMER,Sung Shariari,OFFICE SUPPLIES,LABELS,February,2012,1,5,Weekend,8,Saturday
CA-2012-154900,OFF-PA-10002377,SS-20875,United States,East,MASSACHUSETTS,LEOMINSTER,1453,2012-02-25,2012-03-01,STANDARD CLASS,22.72,10.223999999999998,0.0,4.0,CONSUMER,Sung Shariari,OFFICE SUPPLIES,PAPER,February,2012,1,5,Weekend,8,Saturday
US-2013-152415,FUR-FU-10002597,PO-18865,United States,East,MASSACHUSETTS,MARLBOROUGH,1752,2013-09-18,2013-09-23,STANDARD CLASS,14.82,6.224400000000001,0.0,3.0,CONSUMER,Patrick O'Donnell,FURNITURE,FURNISHINGS,September,2013,3,5,Weekday,38,Wednesday
US-2013-152415,FUR-FU-10004864,PO-18865,United States,East,MASSACHUSETTS,MARLBOROUGH,1752,2013-09-18,2013-09-23,STANDARD CLASS,191.82,61.3824,0.0,3.0,CONSUMER,Patrick O'Donnell,FURNITURE,FURNISHINGS,September,2013,3,5,Weekday,38,Wednesday
CA-2013-153269,OFF-ST-10004634,PS-18760,United States,East,MASSACHUSETTS,ANDOVER,1810,2013-03-10,2013-03-13,FIRST CLASS,11.21,3.3629999999999995,0.0,1.0,CONSUMER,Pamela Stobb,OFFICE SUPPLIES,STORAGE,March,2013,1,3,Weekend,10,Sunday
